question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
91. a 35yo man who has served in the army presents with lack of interest in enjoyable activities and feeling low. he doesn’t feel like reading the news or watching movies as he believes there is violence everywhere. what is the most appropriate first line therapy?,a. citalopram,b. lofepramine,c. cbt,d. chlordiazepoxide,e. desensitization,,,,,,key: 1. the key is c. cbt key: 2. the diagnosis is mild depressive illness. key: 3. in mild depressive illness cbt is preferred option.,,
"92. a man has reducible bulge below the pubic tubercle, and on occlusion of the deep inguinal ring, cough impulse is present. what is the most likely dx?",a. direct inguinal,b. indirect inguinal,c. femoral,d. spigelian,e. lumbar,,,,,,key: 1. the key is c. femoral hernia. key: 2. it is just below the pubic tubercle that is just below the inguinal ligament. on occlusion of deep ring cough impulse is present (means visible) as femoral hernia doesn’t come through deep ring but indirect inguinal hernia.,,
93. a 48yo woman is admitted to ed with a productive cough and moderate fever. she has often central chest pain and regurgitation of undigested food most times but doesn’t suffer from acid reflux. these symptoms have been present for the last 3.5 months which affects both food and drink. a cxr shows an air-fluid level behind a normal sized heart. what is the most likely dx?,a. pharyngeal pouch,b. hiatus hernia,c. bulbar palsy,d. achalasia,e. tb,,,,,,key: 1. the key is d. achalasia. key: 2. points in favour: aspiration pneumonia due to retained food and fluid in oesophagus. in achalasia usually there is no acid reflux. dysphagia for both food and drink. air-fluid level behind heart. why it is not hiatus hernia? key: differentiating point:-i) in hiatus hernia usually you will get associated gord ii) also in hiatus hernia there may be nausea or vomiting. why it is not pharyngeal pouch? key: in pharyngeal pouch there will be halitosis.,,
94. a 64yo man has been waking up in the middle of the night to go to the bathroom. he also had difficulty in initiating micturition and complains of dribbling. a dx of bph was made after a transrectal us guided biopsy and the pt was prepared for a turp. what electrolyte abnormality is highly likely due to this surgery?,a. hypokalemia,b. hypocalcemia,c. hyperkalemia,d. hyponatremia,e. hypernatremia,,,,,,key: 1. the key is d. hyponatremia. key: 2. absorption of fluid used for bladder irrigation to flush out blood clots and iv fluids all may lead to hypervolaemia and dilutional hyponatremia.,,
"95. a 56yo lady has developed severe right sided headache which worsens whenever she comes to bright light since the last 4 days. she feels nauseated, but doesn’t vomit. what is the most likely dx?",a. sah,b. brain tumor,c. migraine,d. cluster headache,e. subdural headache,,,,,,"key: 1. the key is c. migraine. key: 2. it is migraine without aura. key: 3. criteria of migraine without aura: ≥5 headaches lasting 4-72 hours + nausea/vomiting (or photo/phono-phobia) + any 2 of: i) unilateral ii) pulsating iii) worsen by routine activity [ohcm, 9th edition, page-462].",,
"96. a 35yo man presented with hematuria, abdominal swelling and has a bp of 190/140. what is the most diagnostic inv?",a. cystoscopy,b. usg,c. ct,d. renal biopsy,e. urine analysis,,,,,,"key: 1. the key is b. usg. key: 2. the diagnosis is adpkd. key: 3. in given case patients age is 35. so the usg diagnostic criteria is: age 18 – 39 yrs>3 unilateral or, bilateral cysts, 40 – 59 yrs >2 cysts in each kidney, >60 yrs >4 cysts in each kidney. [ohcm, 9th edition, page- 312].",,
97. a young man is brought to the ed after an rta. his gcs on initial evaluation is 6. what is the most appropriate next step?,a. ct,b. mri,c. iv fluids,d. skull xr,e. secure airway,,,,,,key: the key is e. secure airway.,,
98. a 65yo man presented with frank hematuria. he has no other urinary symptoms. what is the most appropriate next step that will lead to the dx?,a. ivu,b. us abdomen,c. cystoscopy,d. mid-stream urine for culture,e. transrectal us,,,,,,"key: 2. bladder cancer. key: 3. age 65, asymptomatic haematuria. key: 4. adpkd [at the beginning there is very few  or no symptoms].",,
99. a 30yo woman had a gradual decrease of visual acuity since the last 3 years. now she has a disability due to very low vision. what’s the dx?,a. glaucoma,b. cataract,c. macular degeneration,d. retinitis pigmentosa,e. keratitis,,,,,,"key: 1. the key is d. retinitis pigmentosa. key: 2. i) it is not angle closure glaucoma as angle closure glaucoma occurs usually after the age of 50; in open angle glaucoma visual loss is not evenly gradual rather occurs a bit suddenly at its later part.  it is not cataract as cataract occurs usually in elderly.  in macular degeneration near blindness does not occur rather causes inability to identify face or cannot read small prints; otherwise peripheral vision is not that depressed. in keratitis will be pain, redness, photophobia and vision is ok.",,
100. a 27yo lady has had an uncomplicated pregnancy so far. she came to the hospital 2h ago after her water broke. the midwife is looking at her now. she has regular contractions. p.v exam revealed 2cm dilated cervix. vital signs are normal. what stage of labour is she in?,a. second stage,b. first stage,c. latent stage,d. third stage,e. active phase,,,,,,key: the key is b. first stage. first stage starts with softening of cervix with start of opening of cervix and ends when cevix is fully dilated (i.e. 10 cm dilated).,,
"101. a 2yo boy fell off his tricycle and hurt his arm. he got up to start crying, but before there was any sound, he went pale, unconscious and rigid. he recovered after 1-2 mins but remained pale. after an hour he was back to normal. his mother says she was afraid he was going to die, and that he had a similar episode 3 months prior after falling down some steps. what single inv is indicated?",a. ct head,b. eeg,c. cbc,d. none,e. skeletal survey,,,,,,key: 1. the key is d. none. key: 2. diagnosis is breath holding spell.,,
"102. a 29yo woman had just delivered a still born vaginally, following a major placental abruption. choose the single most likely predisposing factor for developing pph in this lady?",a. retained product,b. dic,c. fibroid uterus,d. uterine infection,e. large placental site,,,,,,"key: 1. the key is b. dic. key: 2. pregnancy itself is a risk factor for dic. placental abruption is a more common cause of dic. other causes of pregnancy related dic are: eclampsia, retention of a dead fetus, amniotic fluid embolism, retained placenta or bacterial sepsis.",,
103. a 28yo woman has delivered with rotational forceps after an 8h labor and 3h second stage. choose the single most likely predisposing factor for pph for this pt?,a. atonic uterus,b. cervical/vaginal trauma,c. retained product,d. preterm labor,e. uterine infection,,,,,,key: the key is b. cervical/vaginal trauma. [complication of forceps delivery].,,
104. a 50yo man has had anterior resection of the rectum for carcinoma. he expressed concerns about control of post-op pain in discussions with the anaesthetist before surgery. what is the best management strategy?,a. oral diclofenac,b. oral codeine,c. im morphine,d. im dihydrocodeine,e. ondansetron oral,,,,,,key: the key is c. im morphine. [some post operative pain is severe pain which needs strong opioid analgesics].,,
105. a 73yo male presents with enlarged cervical nodes. he has had recurrent infections over the last year. his conjunctiva is pale. choose the single cell type you will find on the blood film.,a. granulocyte without blast cells,b. myelofibroblasts,c. plasma cells,d. mature lymphocytes,,,,,,,"key: 1. the key is d. mature lymphocytes. key: 2. the diagnosis is cll. key: 3. it is cll because of his age (73 yrs), cervical lymphadenpathy, recurrent infections (mature but functionally defective lymphocytes), and pale conjunctiva (anaemia).",,
106. a 45yo lady has 10m hx of sob. she is found to have irregularly irregular pulse and loud p2 with fixed splitting and ejection systolic murmur in left 2nd ics. what is the probable dx?,a. tof,b. asd,c. vsd,d. pda,e. coa,,,,,,"key: 1. the key is b. atrial septal defect. key: 2. diagnosis is asd with atrial fibrillation. [i) atrial fibrillation = irregularly irregular pulse. ii) asd = sob, fixed splitting with loud p2, esm in pulmonary area]. this picture is typical. one should not misdiagnose sob, esm in pulmonary area and loud p2 as pulmonary hypertension (though in elderly this can develop with asd).",,
107. a 5m baby present with recurrent vomiting. mother noticed some of the vomitus is blood stained. choose the single most likely inv?,a. upper gi endoscopy,b. barium meal,c. us,d. colonoscopy,e. ct abdomen,,,,,,key: the key is a. upper gi endoscopy.,,
108. a 76yo is treated with htn. he suffers from pain and redness at the mtp joint of his right big toe. which of the following anti-htn cause this symptoms?,a. losartan,b. bendroflumethiazide,c. ramipril,d. bisoprolol,e. verapamil,,,,,,key: 1. the key is b. bendroflumethiazide key: 2. diagnosis is acute gout. key: 3. thiazide diuretics may cause hyperuricemia and thus cause or precipitate gout.,,
109. a 33yo male involved in a street fight presents with bruises and deformity in the upper part of his leg. xr shows fx of the neck of fibula. what is the single most associated nerve injury?,a. sciatic nerve,b. gluteal nerve,c. musculocutaneous nerve,d. lateral peroneal nerve,e. tibial nerve,f. femoral nerve,,,,,key: the key is d. lateral peroneal nerve.  [lateral peroneal nerve is other name of superficial peroneal nerve].,,
110. a 35yo man presents with hx of dyspepsia. h.pylori antibodies are negative. no improvement is seen after 1m of tx. what is the next step?,a. urea breath test,b. gastroscopy,c. ct,d. mri,,,,,,,"key: 1. gastroscopy. key: 2. not responding to treatment d/d is: i) jollinger elison syndrome ii) ca stomach key: 3. indications of gastroscopy in a 35 yo man (for man of age <50): i) acute symptoms with h/o previous episode (pud) ii) alarm features [weight loss, anaemia, vomiting, hematemesis and melaena, dysphagia, palpable abdominal mass], fear of cancer, evidence of organic disease.",,
111.  a 15yo male has bilateral ankle edema. his bp=110/70mmhg and urinalysis shows protein++++. what is the most likely dx?,a. hus,b. iga nephropathy,c. membranous gn,d. minimal change gn,e. nephrotic syndrome,,,,,,key: 1. the key is d. minimal change disease. key: 2. points in favour: i) age 15 ii) ankle oedema iii) normotension iv) heavy proteinuria. key: 3. treatment of choice is steroid (prednisolon). failure of steroid or frequent relapse (>3) cyclophosphamide.,,
"112. a 28yo man has developed a red, raised rash on trunk after playing football. his pmh shows he had childhood asthma. the rash is becoming increasingly itchy. what is the most appropriate tx?",a. oral chlorpheneraime,b. oral amoxicillin,c. im adrenaline,d. nebulized salbutamol,e. histamine,,,,,,key: 1. the key is a. oral chlorpheneramine. key: 2. diagnosis is atopy (allergy).,,
"113. a 72yo man has been advised to have antibiotic prophylaxis for some years now before dental tx. he has never experienced chest pain. three weeks ago, he noticed breathlessness on exertion and for one week he had orthopnea. his pulse is normal. what is the most probable dx?",a. aortic regurgitation,b. ischemic mitral regurgitation,c. mitral valve prolapse,d. pulmonary stenosis,e. mitral valve stenosis,,,,,,key: the kay is e. mitral valve stenosis. [mitral stenosis is the most common valvular complication of rheumatic fever].,,
"114. a 37yo woman presents with fatigue. exam: angular stomatitis, no koilonychea. choose the single cell type you will find on the blood film.",a. macrocytes,b. microcytes,c. granulocytes wthout blast cells,d. blast cells,,,,,,,key: 1. the given key is a. macrocytes. key: 2. the cause here is vit. b12 or folate deficiency. key: 3. points in favour of vit. b12 or folate deficiency: i) fatigue (anaemia) ii) angular stomatitis (can be seen in vit. b12 or folate deficiency) iii) absence of koilonychea is against ida (iron deficiency anaemia).,,
115. a 4yo boy with a febrile convulsion lasting eight minutes has been given iv lorazepam to control them. what is the single most likely serious side effect?,a. amnesia,b. anaphylactic shock,c. apnea,d. bronchospasm,e. cardiac arrhythmia,,,,,,key: the key is c. apnoea. [respiratory depression may occur following lorazepam administration].,,
116. a 4wk girl has been dx of having breast milk jaundice. she is otherwise well. what is the single most appropriate management?,a. continue breastfeeding,b. exchange transfusion,c. increase fluid intake,d. phototherapy,e. stop breastfeeding,,,,,,"key: 1. the key is a. continue breast feeding. key: 2. if jaundice lasts past the first week of life in a breastfed baby who is otherwise healthy, the condition may be called ""breast milk jaundice."" key: 3. unconjugated hyperbilirubinaemia. key: 4. cause of breast milk jaundice: factors in a mother's milk that help a baby absorb bilirubin from the intestine.",,
117. a 12yo girl when playing in the garden accidentally stepped on a hive and was bitten several times. she has numerous wheals on her body and complains of severe itching. what is the single most appropriate management?,a. oral antihistamine,b. iv antihistamine,c. im adrenaline,d. oral ciprofloxacin,e. reassurance,,,,,,key: the given key is c. im adrenaline which is a wrong key. the correct answer is a. oral antihistamine. [intravenous antihistamines are used as an adjunct to epinephrine in the emergency treatment of anaphylaxis and angioedema. parenteral antihistamine is not recommended in less severe allergic reaction (other than anaphylaxis)]. followings are the indications of adrenaline in anaphylaxis: 1.	horseness of voice 2.	wheeze 3.	shortness of breath 4.	shock 5.	stridor 6.	swelling of the tongue and cheek 7.	facial swelling,,
118. a term baby born to a 30yo woman of blood group a-ve develops severe jaundice within the first 24h of birth. what is the most likely dx?,a. hereditary spherocytosis,b. g6pd,c. abo incompatibility,d. rh incompatibility,e. physiological jaundice,,,,,,key: the key is d. rh incompatibility.,,
119. a 4yo girl is found to have bounding pulse and continuous machinery murmur. what is the most probable dx?,a. tof,b. asd,c. vsd,d. pda,e. coa,,,,,,key: the key is d. pda. [continuous mechinary murmur is well known feature of pda].,,
"120. a 12yo child with episodes of sudden bluish discoloration and brief loss of consciousness. exam: clubbing, central cyanosis, systolic thrill with systolic ejection murmur in 2nd left ics. what is the most probable dx?",a. tof,b. asd,c. vsd,d. pda,e. coa,,,,,,key: the key a. tof. [tof usually does not become symptomatic at birth or early infancy and given features (central cyanosis and clubbing with murmur of right ventricular outflow obstruction i.e. ejection systolic murmur in 2nd left ics) are well known features of tof]. [tetralogy of fallot = 1. vsd + 2. overriding of the aorta + right ventricular outflow tract obstruction + right ventricular hypertrophy].,,
121. an 8yo child who is tall for his age and has a refractory error for which he wears glasses has presented with severe crushing chest pain. what is the most likely dx?,a. fragile x syndrome,b. prader-willi syndrome,c. digeorge syndrome,d. marfans syndrome,,,,,,,key: 1. the key is d. marfans syndrome. key: 2. cause of severe crushing chest pain may be aortic dissection. key: 3. most common cardiac abnormalities in marfans syndrome are: dilatation of the aorta and mitral regurgitation.,,
122. a 4yo child presents with pain of spontaneous onset in his knee of 2 days duration. he has developed mild fever in the 2nd day. he can walk but has a limp. exam: painful restriction in the right hip. what is the most probable dx?,a. osteosarcoma,b. septic arthritis,c. tb arthritis,d. exostosis,e. osteomyelitis,,,,,,key: given key is e. osteomyelitis which is a wrong key. the correct answer is b. septic arthritis. key: points in favour of diagnosis: i) pain in joints (knee and hip). in osteeomyelitis there is no joint pain but pain in other parts of bone like shaft.  ii) fever iii) painful restricted movement of joint. nb this controversial question was debated and ultimately settled as septic arthritis by old plabbers.,,
123. a man with anterior resection and end to end anastomosis done complains of severe pain in the chest and abdominal distension. what is the most appropriate inv likely to review the cause this deterioration?,a. xr abdomen,b. exploratory laparoscopy,c. ct,d. us,e. laparotomy,,,,,,key: the key is e. laparotomy. this is wrong key! correct key is c. ct. [as many anastomotic leak is self limiting so laparotomy can not be the answer! definitive diagnosis is made by ct scan. here is one link attached. http://teachmesurgery.com/perioperative/gastrointestinal/anastomotic-leak/,,
"124. pt with hx of alcoholism, ataxic gait, hallucinations and loss of memory. he is given acamprosate. what other drug can you give with this?",a. chlordiazepoxide,b. thiamine,c. diazepam,d. disulfiram,e. haloperido,,,,,,key: the key is b. thiamine. [these are features of wernicke’s encephalopathy].,,
"125. a 35yo male builder presented with sudden onset of severe abdominal pain. he was previously fit and well other than taking ibuprofen for a long term knee injury. on examination he is in severe pain, pulse=110bpm, bp=110/70mmhg and has a rigid abdomen. what is the most likely dx?",a. biliary peritonitis,b. ischemic colon,c. pancreatic necrosis,d. perforated diverticulum,e. perforated peptic ulcer,,,,,,"key: the key is e. perforated peptic ulcer. [nsaids induced perforation. points in favour- 1. prolonged use of nsaids, 2. sudden onset of severe abdominal pain, 3. rigid abdomen].",,
"126. a woman 5 days post-op for bilateral salphingo-oopherectomy and abdominal hysterectomy has developed abdominal pain and vomiting a/w abdominal distension and can’t pass gas. no bowel sounds heard, although well hydrated. what is the most appropriate next step?",a. xr abdomen,b. exploratory laparoscopy,c. ct,d. usg,e. barium enema,,,,,,key: 1. the key is a. x-ray abdomen. key: 2. the diagnosis is paralytic ileas. key: 3. causes of paralytic ileus: i) electrolyte imbalance ii) gastroenteritis iii) appendicitis iv) pancreatitis v) surgical complications and vi) certain drugs. key: 4. management of paralytic ileus: i) nil by mouth ii) nasogastric suction to alleviate the distension and remove the obstruction.,,
127. a 30yo man complains of hoarseness of voice. exam: unilateral immobile vocal cord. what is the most probable dx?,a. graves disease,b. hematoma,c. unilateral recurrent laryngeal nerve injury,d. external laryngeal nerve injury,e. tracheomalacia,,,,,,key: the key is c. unilateral recurrent laryngeal nerve injury.,,
128. a 38yo woman has delivered after an induced labor which lasted 26h. choose the single most likely predisposing factor for postpartum hemorrhage?,a. atonic uterus,b. cervical/vaginal trauma,c. rupture uterus,d. fibroid uterus,e. age of mother,,,,,,key: the key is a. atonic uterus. [prolonged labour is a risk factor for pph secondary to atonic uterus].,,
"129. a 32yo woman in tears describing constant irritability with her 2 small children and inability to relax. she describes herself as easily startled with poor sleep and disturbed nightmares following a house fire a year ago, while the family slept. what is the single best tx?",a. rassurance,b. relaxation therapy,c. quetiapine,d. lofepramine,e. fluoxetine,,,,,,"key: 1 the key is e. fluoxetine. [nice guidelines suggest that trauma-focussed psychological therapies (cbt or emdr) should be offered before medication, wherever possible. as these are not in option the best answer here is fluoxetine (ssri). at present, there is evidence that emdr, psychotherapy, behaviour therapy and antidepressants are all effective. there is not enough information for us to say that one of these treatments is better than another]. key: 2. the diagnosis is post traumatic stress disorder. key: 3. points in favour of ptsd: i) h/o stressor (house fire a year ago) ii) nightmares of the stressor iii) hyper arousal (very anxious and inability to relax (leading to irritability) iv) associated depression (poor sleep, tearful). note: fluoxetin and peroxetin are the  drugs of choice in ptsd. cbt is the non-pharmacological treatment.",,
130. a 22yo woman with longstanding constipation has severe ano-rectal pain on defecation. rectal exam: impossible due to pain and spasm. what is the most probable dx?,a. anal hematoma,b. anal fissure,c. anal abscess,d. protalgia fugax,e. hemorrhoids,,,,,,key: the key is b. anal fissure.,,
"131. a 20yo student attends the opd with complaint of breathlessness on and off, cough and sputum. his sleep is disturbed and skin is very dry in flexural areas of the body. exam: tachypnea, hyperresonant percussion and wheezing on auscultation. what is the most likely dx?",a. extrinsic allergic alveolitis,b. asthma,c. wegener’s granulomatosis,d. copd,e. cystic fibrosis,,,,,,"key: the key is b. asthma. key: 2. diagnostic criteria of asthma: i) airway hyper-responsiveness to certain stimuli ii) recurrent variable airflow limitation usually reversible iii) presents as wheezing, breathlessness, chest tightness and cough.",,
132. a pt with thought disorder washes hands 6x each time he uses the toilet. what is the best management?,a. psychodynamic therapy,b. cbt,c. antipsychotics,d. refer to dermatology,e. reassure,,,,,,key: 1. the key is b. cbt. [for ocd cbt is the 1st treatment of choice and if fails comes drugs]. key: 2. the diagnosis is obsessive compulsive disorder.,,
"133. a 25yo woman presented to her gp on a routine check up. upon vaginal exam, she was fine except for finding of cervical ectropion which was painless but mild contact bleeding on touch. what is the next management?",a. endometrial ablation,b. cervical smear (2nd line),c. colposcopy,d. antibiotics (1st line),e. vaginal us,f. pack with gauze and leave to dry,,,,,key: the key is d. antibiotics. this is a wrong key. the correct key is b. cervical smear. in uk 25 yr is the age when 1st smear is offered.  [before antibiotics we have to take swab. as there is no option of swab and age is 25 yrs we shall go for smear]. key: 2. cervical smear is a screaning service which follows its own schedule and can not be done unless it is due or overdue. as the lady is of 25 years and has ectropion and contact bleeding smear is the best option here as in uk 1st smear is offered at 25 yrs.,,
134. a 32yo had a normal vaginal delivery 10 days ago. her uterus has involuted normally. choose the single most likely predisposing factor for pph?,a. retained product,b. dic,c. uterine infection,d. von willebrand disease,e. primary pph,,,,,,key: 1. the key is c. uterine infection. key: 2. secondary pph,,
135. a 37yo man slipped while he was walking home and fell on his out stretched hand. he complains of pain in the right arm. xr showed fx of the head of radius. what is the single most associated nerve injury?,a. radial nerve,b. musculocutaneous nerve,c. median nerve,d. ulnar nerve,,,,,,,"key: 1. the key is a. radial nerve. [at wrist, radial nerve injury cause finger drop]. key: 2. root value of radial nerve: c5,6,7,8 and t1.",,
"136. a butcher stabbed accidently his groin. he bled so much that the towel was soaked in blood and bp=80/50mmhg, pulse=130bpm. what % of circulatory blood did he lose?",a. <15%,b. 15-30%,c. 30-40%,d. 40-50%,e. >50%,,,,,,"key: 1. the key is c. 30-40% key: 2. classification: 1.	class 1 up to 15% of blood volume lost: pulse <100; systolic bp normal; pulse pressure normal; respiratory rate 14-20; urine output greater than 30 ml/hour. 2.	class 2 15%-30% blood volume lost: pulse 100-120; systolic blood pressure normal; pulse pressure decreased; respiratory rate 20-30; urine output 20-30 ml/hour. 3.	class 3 30%-40% blood volume lost: pulse 120-140; systolic bp decreased; pulse pressure decreased, respiratory rate 30-40; urine output 5-15 ml/hr 4.	class 4, blood loss of greater than 40%: pulse rate >140; systolic bp decreased; pulse pressure decreased’ respiratory rate >35; urine output negligible.",,
"137. a 67yo man presents with palpitations. ecg shows an irregular rhythm and hr=140bpm. he is otherwise stable, bp=124/80mmhg. what is the most appropriate management?",a. bisoprolol,b. acei,c. ramipril,d. digoxin,,,,,,,"key: the key is a. bisoprolol. [in acute af (<48h) if stable rate control by verapamil 40-120mg/8hourly po or bisoprolol 2.5-5mg/d po. in chronic af (>48h) rate control with beta-blocker or rate limiting ccb; ohcm, 9th edition, page-124].",,
138. a 78yo man is depressed after his wife’s death. he has been neglecting himself. his son found him in a miserable state when he went to visit. the son can’t deal with his father. what is the appropriate management?,a. voluntary admission to psychiatry ward,b. hand over to social worker,c. request son to move in with father,d. send pt to care home,,,,,,,key: the key is a. voluntary admission to psychiatry ward.,,
"139. an old alcoholic presents with cough, fever, bilateral cavitating consolidation. what is the most probable cause?",a. gram +ve diplococcic,b. coagulase +ve cocci,c. gram –ve cocci,d. afb,e. coagulase –ve cocci,,,,,,"key: 1. the key is b. coagulase +ve cocci. [the picture is of pneumonia and bilateral cavitating consolidation favours staphylococcus as the causative agent]. key: 2. name of organism is staphylococcus aureus. [staphylococci can be both coagulase positive and coagulase negative. gram positive diplococcic is pneumococcus and gram negative nisseria, moraxella catarrhalis and hemophilus influenza. for afb there should be low grade evening fever with night sweats, weight loss, anorexia etc].",,
140. a 67yo man had successful thrombolysis for an inf mi 1 month ago and was discharged after 5days. he is now readmitted with pulmonary edema. what is the most probable dx?,a. aortic regurgitation,b. ischemic mitral regurgitation,c. mitral valve prolapse,d. pulmonary stenosis,e. rheumatic mitral valve stenosis,,,,,,"key: the key is b. ischaemic mitral regurgitation. [ischaemic mitral regurgitation > raised pulmonary capillary pressure > pulmonary oedema]. [ inferior myocardial infarction causes left ventricular remodeling, which displaces posterior papillary muscle away from its normal position, leading to ischemic mitral regurgitation].",,
141. a 60yo lady who had stroke 3 years ago now reports having increased dyspnea on exertion and atrial fibrillation. cxr: straight left border on the cardiac silhouette. what is the most probable dx?,a. aortic regurgitation,b. ischemic mitral regurgitation,c. mitral valve prolapse,d. pulmonary stenosis,e. rheumatic mitral valve stenosis,,,,,,key: 1. the key is e. rheumatic mitral valve stenosis. key: 2. points in favour: i) dyspnoea on exertion ii) straight left border of the cardiac silhouette. to straighten the left heart border it requires underfilling of the left ventricle and aorta which occurs in mitral stenosis. iii) atrial fibrillation is a common association.,,
142. a 60yo diabetic complains of pain in thigh and gluteal region on walking up the stairs for the last 6 months. she is a heavy smoker and has ischemic heart disease. what is the most appropriate dx?,a. thromboangitis obliterans,b. sciatica,c. dvt,d. atherosclerosis,e. embolus,,,,,,"key: 1. the key is d. atherosclerosis. key: 2. i) it is not sciatica as sciatica pain is worse when sitting. there may be weakness, numbness, difficulty moving the leg or foot. a constant pain on one side of the rear. a shooting pain that makes it difficult to stand up. ii) it is not dvt as no swelling, warmth or redness of skin are there iii) it is not thromboangitis obliterans as pulses are ok, no colour change or reduced hair growth, no ulceration or gangrene iv) not embolism as no pain (rest pain), no numbness, no redness or itching or rash, no ulceration of skin.",,
"143. a 3yo child who looks wasted on examination has a hx of diarrhea on and off. the mother describes the stool as bulky, frothy and difficult to flush. what is the single inv most likely to lead to dx?",a. sweat chloride test,b. anti-endomysial antibodies,c. lft,d. us abdomen,e. tft,,,,,,key: 1. the key is b. anti-endomysial antibody key: 2. the diagnosis is celiac disease. [it is not cystic fibrosis as lung problem is most commonly seen in cystic fibrosis along with gi problem like indigestion].,,
"144. a 45yo woman has had severe epigastric and right hypochondrial pain for a few hours. she has a normal cbc, serum alp is raised, normal transaminase. 3 months ago she had a cholecystectomy done. what is the most appropriate inv?",a. us abdomen,b. ercp,c. mrcp,d. ct abdomen,e. upper gi endoscopy,,,,,,"key: 1. the key is b. ercp. it is probably a wrong key and correct key should be c. mrcp. [post operative us of abdomen does not give good result for hepatobiliary system. ercp is invasive procedure and it has its considerable complications like cholangitis, injury, pancreatitis etc. among given options mrcp is most appropriate. we shall go for ercp after making the dx confirm. for this mrcp is preferred. if the question asks which is the “definitive” or the “most diagnostic” then the option will be ercp]. key: 2. diagnosis is choledocolithiasis.",,
"145. a 53yo woman presented with pain in the eye, blurry vision and clumsiness for 3 months. she has a hx of difficulty in swallowing and weakness in her right upper limb 2y ago. what is the inv of choice?",a. csf analysis,b. eeg,c. emg,d. mri brain,e. visual evoked response test,,,,,,key: 1. the key is d. mri brain. key: 2. diagnosis is multiple sclerosis.,,
"146. a 55yo male presents with malaise and tiredness. exam: spleen approaching rif, no lymphadenopathy. choose the single cell type?",a. helmet shaped cell,b. sickle cell,c. granulocyte without blast cells,d. blast cells,,,,,,,key: 1. the key is c. granulocyte without blast cells. key: 2. the diagnosis is cml. key: 3. diagnostic features are i) increased number of mature granulocytes ii) huge splenomegaly. [* helmet shaped cells (or shistocytes) = hemolytic or microangiopathic hemolytic anemia * sickle cell = sickle cell anemia * blast cells (immature cells) = in acute leukemia].,,
"147. a 6yo pt comes with easy bruising in different places when she falls. cbc: wbc=25, hgb=10.9, plt=45. her paul bunnel test +ve. what is the most likely dx?",a. glandular fever,b. itp,c. trauma,d. nai,e. septicemia,,,,,,"key: 1. the key is a. glandular fever. key: 2. suggestive lab. values: wbc=25 (leucocytosis), hgb=10.9 (usually patient is not anaemic), plt=45 (thrombocytopenia-leading to easy bruising), positive paul bunnel test.",,
"148. a 41yo woman who has completed her family, has suffered from extremely heavy periods for many years. no medical tx has worked. she admits that she would rather avoid open surgery. after discussion, you collectively decide on a procedure that wouldn’t require open surgery or ga. select the most appropriate management for this case.",a. endometrial ablation,b. hysterectomy,c. fibroid resection,d. myomectomy,e. uterine artery embolization,,,,,,key: the key is e. uterine artery embolization. [done by interventional radiologist expert in arterial embolization technique. particles are placed in uterine artery to block circulation to uterine body. no operation or ga is required].,,
"149. a girl with hx of allergies visited a friend’s farm. she got stridor, wheeze and erythematous rash. what is the most appropriate tx?",a. 0.25ml im adrenaline,b. 0.25ml po adrenaline,c. 0.25ml iv adrenaline,d. iv chlorphearamine,,,,,,,key: the key is a. 0.25 ml im adrenaline [presence of stridor and wheeze are suggestive of anaphilaxis and treatment option is im adrenaline].,,
"150. a 5yo boy is referred to the hospital and seen with his father who is worried that he has been listless. he is not sure why his gp suggested he should come to the ed and is keen to get some tablets and go home. exam: tired and irritable, swelling around eyes. renal biopsy: remarkable for podocyte fusion on em. what is the most probable dx?",a. nai,b. myelodysplastic disease,c. hsp,d. membranous gn,e. minimal change gn,,,,,,key: the key is e. minimal change glomerulonephritis. [podocyte fusion on electron microscopy].,,
151. a 6yo boy is brought to the hospital for a 3rd episode of sore throat in 1 month. he is found bleeding from gums and nose and has pale conjunctiva. what’s the single cell type?,a. clumped platelets,b. microcytes,c. granulocyte without blast cells,d. blast cells,e. mature lymphocytes,,,,,,key: 1. the key is d. blast cells. key: 2. the diagnosis is all key: 3. points in favour: i) age-6yrs ii) recurrent infection (sorethroat) due to neutrpenia and abnormal lymphoblasts which cannot protect from infection iii) thrombocytopenia causing gum and nose bleeding. iii) anaemia (pale conjunctiva) due to reduced red cell production from marrow occupation by blast cells. [here debate came why it is not aplastic anaemia? there is no risk factor mentioned for this patient for aplastic anaemia. there may be congenital aplastic anaemia but again it would present earlier in life. so it goes more with leukaemia but it cannot be confirmed unless we do bone marrow aspiration.],,
"152. a 23yo man has been stabbed in the back and has sob. the trachea is not deviated, he has engorged neck veins and absent breath sounds on the right. what is the most appropriate dx?",a. tension pneumothorax,b. cardiac tamponade,c. simple pneumothorax,d. hemothorax,e. pleural effusion,,,,,,key: 1. the key is a. tension pneumothorax. key: 2. points in favour: i) stab wound in the back ii) sob iii) engorged neck vein iv) absent breath sound. these features are common for both hemothorax and tension pneumothorax and tracheal deviation is common to both! this is probability of bad recall!!,,
153. a 44yo pt comes with right hemiparesis. exam: left sided ptosis and left dilated pupil. where is the lesion?,a. cerebral infarct,b. cerebellar infarct,c. medulla oblongata,d. pons,e. midbrain,,,,,,key: 1. the key is e. midbrain. key: 2. weber syndrome [presence of ipsilateral oculomotor nerve palsy and contralateral hemiparesis or hemiplagia].,,
