question,a,b,c,d,e,f,g,h,i,j,key,chat,key_letter,gpt_letter,Unnamed: 15,0
90. an 11yo boy is being checked by the diabetic specialist nurse. his hba1c was high and he has been skipping meals recently. he has been unhappy at school. which single member of the clinical team would you refer him to next?,a. gp,b. pediatrician,c. dietician,d. clinical psychologist,,,,,,,"key: the key is d. clinical psychologist. [skipping meals, unhappy at school these are psychological issues. so he should be referred to clinical psychologist].","The correct answer is d. clinical psychologist. This is because the boy is experiencing psychological issues such as being unhappy at school and skipping meals, which may be indicative of mental health problems that require the attention and expertise of a clinical psychologist. Referring him to a general practitioner (a) or a pediatrician (b) may not address the underlying psychological issues. Whilst a dietician (c) can help with meal planning and nutritional advice, their role does not involve addressing mental health concerns. Therefore, the best course of action is to refer the boy to a clinical psychologist who can provide specialized psychological interventions and support.",d,d,TRUE,
91. a 35yo man who has served in the army presents with lack of interest in enjoyable activities and feeling low. he doesn’t feel like reading the news or watching movies as he believes there is violence everywhere. what is the most appropriate first line therapy?,a. citalopram,b. lofepramine,c. cbt,d. chlordiazepoxide,e. desensitization,,,,,,key: 1. the key is c. cbt key: 2. the diagnosis is mild depressive illness. key: 3. in mild depressive illness cbt is preferred option.,"The correct answer to this question is c. CBT (Cognitive Behavioral Therapy) is the most appropriate first line therapy for a 35yo man who presents with lack of interest in enjoyable activities and feeling low, as well as a belief that there is violence everywhere, given his symptoms of mild depressive illness. CBT is a form of talk therapy that helps individuals recognize and change negative thought patterns and behaviors, and it has been found to be an effective treatment for mild depressive illness. Medications such as citalopram or lofepramine may also be options for treatment, but they are not necessarily first line therapies and are not the best option for all individuals. Similarly, chlordiazepoxide and desensitization are not effective treatments for mild depressive illness and are not appropriate options for this individual.",c,c,TRUE,
"92. a man has reducible bulge below the pubic tubercle, and on occlusion of the deep inguinal ring, cough impulse is present. what is the most likely dx?",a. direct inguinal,b. indirect inguinal,c. femoral,d. spigelian,e. lumbar,,,,,,key: 1. the key is c. femoral hernia. key: 2. it is just below the pubic tubercle that is just below the inguinal ligament. on occlusion of deep ring cough impulse is present (means visible) as femoral hernia doesn’t come through deep ring but indirect inguinal hernia.,"The most likely diagnosis for a man with a reducible bulge below the pubic tubercle and a present cough impulse on occlusion of the deep inguinal ring is femoral hernia (option c). This is because a femoral hernia's protrusion occurs just below the inguinal ligament and is not visible through the deep ring. The other choices are incorrect because a direct inguinal hernia (option a) protrudes directly through the deep ring, while an indirect inguinal hernia (option b) presents with the absence of a cough impulse on occlusion of the deep ring. Spigelian hernia (option d) is uncommon and affects the lateral abdominal wall, and lumbar hernia (option e) involves the lumbar region and presents with a bulge in the lower back. Therefore, the most probable diagnosis for this man is femoral hernia, and he should be referred to a specialist for further evaluation and treatment.",c,c,TRUE,
93. a 48yo woman is admitted to ed with a productive cough and moderate fever. she has often central chest pain and regurgitation of undigested food most times but doesn’t suffer from acid reflux. these symptoms have been present for the last 3.5 months which affects both food and drink. a cxr shows an air-fluid level behind a normal sized heart. what is the most likely dx?,a. pharyngeal pouch,b. hiatus hernia,c. bulbar palsy,d. achalasia,e. tb,,,,,,key: 1. the key is d. achalasia. key: 2. points in favour: aspiration pneumonia due to retained food and fluid in oesophagus. in achalasia usually there is no acid reflux. dysphagia for both food and drink. air-fluid level behind heart. why it is not hiatus hernia? key: differentiating point:-i) in hiatus hernia usually you will get associated gord ii) also in hiatus hernia there may be nausea or vomiting. why it is not pharyngeal pouch? key: in pharyngeal pouch there will be halitosis.,"The most likely diagnosis for the 48-year-old woman with a productive cough, central chest pain, and regurgitation of undigested food is achalasia. This is supported by the presence of dysphagia for both food and drink, as well as the air-fluid level seen on CXR behind a normal sized heart. Differentiating it from hiatus hernia, achalasia rarely presents with acid reflux or associated GORD, and there may be no nausea or vomiting as seen in hiatus hernia. Pharyngeal pouch is also unlikely as it usually presents with halitosis, which is not mentioned in this case. The symptoms in bulbar palsy would typically be different and would require additional findings for a diagnosis. Finally, although TB is a possible consideration, the symptoms and findings described in this case are more suggestive of achalasia.",d,d,TRUE,
94. a 64yo man has been waking up in the middle of the night to go to the bathroom. he also had difficulty in initiating micturition and complains of dribbling. a dx of bph was made after a transrectal us guided biopsy and the pt was prepared for a turp. what electrolyte abnormality is highly likely due to this surgery?,a. hypokalemia,b. hypocalcemia,c. hyperkalemia,d. hyponatremia,e. hypernatremia,,,,,,key: 1. the key is d. hyponatremia. key: 2. absorption of fluid used for bladder irrigation to flush out blood clots and iv fluids all may lead to hypervolaemia and dilutional hyponatremia.,"The electrolyte abnormality highly likely to occur due to surgery for BPH is hyponatremia. This is because absorption of fluid used for bladder irrigation to flush out blood clots and IV fluids can lead to hypervolemia and dilutional hyponatremia. Hyponatremia is a condition in which there is a low level of sodium in the blood, and it can cause symptoms such as confusion, seizures, and coma. Hypokalemia and hypocalcemia are not typically associated with surgery for BPH, and hyperkalemia and hypernatremia are unlikely due to the nature of the surgery. Therefore, hyponatremia is the correct answer and is highly likely to occur in this scenario.",d,d,TRUE,
"95. a 56yo lady has developed severe right sided headache which worsens whenever she comes to bright light since the last 4 days. she feels nauseated, but doesn’t vomit. what is the most likely dx?",a. sah,b. brain tumor,c. migraine,d. cluster headache,e. subdural headache,,,,,,"key: 1. the key is c. migraine. key: 2. it is migraine without aura. key: 3. criteria of migraine without aura: ≥5 headaches lasting 4-72 hours + nausea/vomiting (or photo/phono-phobia) + any 2 of: i) unilateral ii) pulsating iii) worsen by routine activity [ohcm, 9th edition, page-462].","The correct answer is c. Migraine. The patient presents with severe right sided headache, nausea, and photo-phobia, which are key criteria for migraine without aura. According to the given criteria, a patient must have at least 5 headaches lasting 4-72 hours, along with nausea/vomiting (or photo/phono-phobia) and any two of the following: unilateral, pulsating, worsens by routine activity. Therefore, it is clear that the most likely diagnosis in this case is migraine without aura. SAH, brain tumor, cluster headache, and subdural headache are all less likely given the presentation and lack of additional findings.",c,c,TRUE,
"96. a 35yo man presented with hematuria, abdominal swelling and has a bp of 190/140. what is the most diagnostic inv?",a. cystoscopy,b. usg,c. ct,d. renal biopsy,e. urine analysis,,,,,,"key: 1. the key is b. usg. key: 2. the diagnosis is adpkd. key: 3. in given case patients age is 35. so the usg diagnostic criteria is: age 18 – 39 yrs>3 unilateral or, bilateral cysts, 40 – 59 yrs >2 cysts in each kidney, >60 yrs >4 cysts in each kidney. [ohcm, 9th edition, page- 312].","The most diagnostic investigation for this 35-year-old man who presented with hematuria, abdominal swelling, and a blood pressure of 190/140 is B, ultrasound (USG). This is because the USG diagnostic criteria for ADPKD (autosomal dominant polycystic kidney disease) can be used to assess the number of cysts in the kidneys based on the patient’s age. According to the criteria, patients aged 18-39 years with >3 unilateral or bilateral cysts in their kidneys are diagnosed with ADPKD. In contrast, CT scanning (C) or renal biopsy (D) may also provide helpful information, but they are more invasive procedures that carry a higher risk of complications. Cystoscopy (A) and urine analysis (E) are not relevant to the diagnosis of ADPKD as they focus on the bladder and urinary tract, respectively. Therefore, USG is the most diagnostic inv for this patient.",b,b,TRUE,
97. a young man is brought to the ed after an rta. his gcs on initial evaluation is 6. what is the most appropriate next step?,a. ct,b. mri,c. iv fluids,d. skull xr,e. secure airway,,,,,,key: the key is e. secure airway.,"The correct answer is e, which is to secure the airway. The patient's low Glasgow Coma Scale (GCS) score indicates that he is not able to protect his own airway, and there is a risk of aspiration that can cause serious respiratory complications. Therefore, immediate intervention is crucial to maintain adequate oxygenation and prevent further deterioration of the patient's condition. Options a and b, which involve imaging studies, should be considered after the patient's airway is secured. Option c, providing IV fluids, may be necessary in the resuscitation process but is not the priority at this stage. Option d, skull XR, is not the appropriate intervention as it focuses on evaluating the head injury, but the airway should be secured first and other interventions should only be considered once the patient's airway is stabilized.",e,e,TRUE,
98. a 65yo man presented with frank hematuria. he has no other urinary symptoms. what is the most appropriate next step that will lead to the dx?,a. ivu,b. us abdomen,c. cystoscopy,d. mid-stream urine for culture,e. transrectal us,,,,,,"key: 2. bladder cancer. key: 3. age 65, asymptomatic haematuria. key: 4. adpkd [at the beginning there is very few  or no symptoms].","The most appropriate next step that will lead to the diagnosis in a 65-year-old man presented with frank hematuria but no urinary symptoms is cystoscopy. This is because hematuria is a significant symptom of bladder cancer, and cystoscopy is the gold standard diagnostic test for detecting bladder cancer. A mid-stream urine for culture would not provide any diagnostic information concerning bladder cancer, while an IVU and a transrectal US would not be useful in detecting bladder cancer. In addition, the history of ADPKD, which is a condition characterized by the development of cysts in the kidney, is also an important risk factor for the development of urinary tract cancers. Therefore, in this case, urgent referral for cystoscopy is the most appropriate next step to rule out bladder cancer.",c,c,TRUE,
99. a 30yo woman had a gradual decrease of visual acuity since the last 3 years. now she has a disability due to very low vision. what’s the dx?,a. glaucoma,b. cataract,c. macular degeneration,d. retinitis pigmentosa,e. keratitis,,,,,,"key: 1. the key is d. retinitis pigmentosa. key: 2. i) it is not angle closure glaucoma as angle closure glaucoma occurs usually after the age of 50; in open angle glaucoma visual loss is not evenly gradual rather occurs a bit suddenly at its later part.  it is not cataract as cataract occurs usually in elderly.  in macular degeneration near blindness does not occur rather causes inability to identify face or cannot read small prints; otherwise peripheral vision is not that depressed. in keratitis will be pain, redness, photophobia and vision is ok.","The correct answer is d. retinitis pigmentosa. The gradual decrease of visual acuity over the last 3 years and resulting disability due to very low vision points towards retinitis pigmentosa which is a genetic disorder that affects the retina and causes a slow progression of vision loss, often leading to legal blindness. Options b, c, and e are unlikely as they occur usually in elderly or have different symptoms. While option a, glaucoma, is a possibility, it is not the most likely answer as visual loss in glaucoma is not evenly gradual, rather it occurs suddenly at a later stage. Therefore, the most likely diagnosis for the woman's symptoms is retinitis pigmentosa.",d,d,TRUE,
100. a 27yo lady has had an uncomplicated pregnancy so far. she came to the hospital 2h ago after her water broke. the midwife is looking at her now. she has regular contractions. p.v exam revealed 2cm dilated cervix. vital signs are normal. what stage of labour is she in?,a. second stage,b. first stage,c. latent stage,d. third stage,e. active phase,,,,,,key: the key is b. first stage. first stage starts with softening of cervix with start of opening of cervix and ends when cevix is fully dilated (i.e. 10 cm dilated).,"The correct answer is b. first stage. At this stage of labor, the cervix is undergoing softening and opening, with contractions becoming more frequent and regular. In this scenario, the woman's cervical dilation is 2cm, indicating the initial phase of the first stage. The other choices are incorrect as they refer to different stages of labor. The second stage starts once the cervix is fully dilated and ends with the delivery of the baby. The latent stage refers to the early phase of the first stage, where cervical dilation is between 0-3 cm. The active phase begins once the cervix is 4 cm dilated and continues until the cervix is fully dilated. The third stage is the period after the delivery of the baby, where the placenta is delivered.",b,b,TRUE,
"101. a 2yo boy fell off his tricycle and hurt his arm. he got up to start crying, but before there was any sound, he went pale, unconscious and rigid. he recovered after 1-2 mins but remained pale. after an hour he was back to normal. his mother says she was afraid he was going to die, and that he had a similar episode 3 months prior after falling down some steps. what single inv is indicated?",a. ct head,b. eeg,c. cbc,d. none,e. skeletal survey,,,,,,key: 1. the key is d. none. key: 2. diagnosis is breath holding spell.,"The indicated single investigation in this case is choice D, none. The child's presentation and history are consistent with a breath holding spell, which is a common occurrence in young children and not associated with any underlying pathology. The child's fall and injury likely triggered the spell, causing a sudden drop in heart rate and oxygen levels. A CT head, EEG, CBC, or skeletal survey are not indicated in this case because there is no evidence of head trauma or other associated symptoms or risk factors. It is important to reassure the mother about the benign nature of the breath holding spell and recommend measures to prevent future triggers.",d,d,TRUE,
"102. a 29yo woman had just delivered a still born vaginally, following a major placental abruption. choose the single most likely predisposing factor for developing pph in this lady?",a. retained product,b. dic,c. fibroid uterus,d. uterine infection,e. large placental site,,,,,,"key: 1. the key is b. dic. key: 2. pregnancy itself is a risk factor for dic. placental abruption is a more common cause of dic. other causes of pregnancy related dic are: eclampsia, retention of a dead fetus, amniotic fluid embolism, retained placenta or bacterial sepsis.","The correct answer to this question is choice B, DIC (Disseminated Intravascular Coagulation). DIC is a serious blood-clotting disorder that results from an underlying medical condition or complication, such as severe infection, cancer, or in this case, obstetric complications. Placental abruption, which is a sudden separation of the placenta from the uterine wall, can cause DIC due to the release of tissue factor and other pro-coagulant substances into the bloodstream. This leads to widespread activation of clotting factors, resulting in the formation of small blood clots throughout the body, which can cause organ dysfunction and bleeding. Retained products of conception (choice A) can also cause postpartum hemorrhage (PPH), but this is less likely in this case since the fetus was already delivered vaginally. Fibroid uterus (choice C), uterine infection (choice D), and large placental site (choice E) are not predisposing factors for DIC or PPH, and therefore not the correct answer.",b,b,TRUE,
103. a 28yo woman has delivered with rotational forceps after an 8h labor and 3h second stage. choose the single most likely predisposing factor for pph for this pt?,a. atonic uterus,b. cervical/vaginal trauma,c. retained product,d. preterm labor,e. uterine infection,,,,,,key: the key is b. cervical/vaginal trauma. [complication of forceps delivery].,"The most likely predisposing factor for postpartum hemorrhage (PPH) in this 28-year-old woman who delivered with rotational forceps after an 8-hour labor and 3-hour second stage is cervical/vaginal trauma (choice b). This is a common complication of forceps delivery and can cause significant bleeding. Atonic uterus (choice a) is also a risk factor for PPH, but it is less likely in this case since the patient had a successful vaginal delivery with the use of forceps. Retained product (choice c) and preterm labor (choice d) are not applicable in this scenario. Uterine infection (choice e) could potentially be a cause of PPH, but it is not as likely as cervical/vaginal trauma in this case since the patient had a prolonged second stage of labor and the use of forceps can increase the risk of trauma. Therefore, cervical/vaginal trauma is the correct answer as it is the most likely predisposing factor for PPH in this particular scenario.",b,b,TRUE,
104. a 50yo man has had anterior resection of the rectum for carcinoma. he expressed concerns about control of post-op pain in discussions with the anaesthetist before surgery. what is the best management strategy?,a. oral diclofenac,b. oral codeine,c. im morphine,d. im dihydrocodeine,e. ondansetron oral,,,,,,key: the key is c. im morphine. [some post operative pain is severe pain which needs strong opioid analgesics].,"The correct answer is c, IM morphine. Some postoperative pain can be severe, and it requires strong opioid analgesics to manage it effectively. The patient in this case just underwent anterior resection of the rectum for carcinoma and had expressed concerns about managing their postoperative pain. Oral diclofenac and oral codeine may not provide adequate pain relief in severe cases, and im dihydrocodeine may not be as effective as morphine. Ondansetron is not an analgesic and does not address the patient's pain concerns. Therefore, IM morphine is the best management strategy to manage the patient's postoperative pain effectively.",c,c,TRUE,
105. a 73yo male presents with enlarged cervical nodes. he has had recurrent infections over the last year. his conjunctiva is pale. choose the single cell type you will find on the blood film.,a. granulocyte without blast cells,b. myelofibroblasts,c. plasma cells,d. mature lymphocytes,,,,,,,"key: 1. the key is d. mature lymphocytes. key: 2. the diagnosis is cll. key: 3. it is cll because of his age (73 yrs), cervical lymphadenpathy, recurrent infections (mature but functionally defective lymphocytes), and pale conjunctiva (anaemia).","In this case, the correct answer is D - mature lymphocytes. This is because the patient's clinical presentation is consistent with chronic lymphocytic leukemia (CLL), which is characterized by the accumulation of mature but functionally defective lymphocytes in the blood and lymphoid tissues. The other choices are unlikely to be present on the blood film in this context, as granulocytes without blast cells could suggest a myeloproliferative disorder, myelofibroblasts could indicate bone marrow fibrosis, and plasma cells are more commonly found in multiple myeloma or other plasma cell dyscrasias. Therefore, the presence of mature lymphocytes on the blood film is the most indicative of CLL for this patient.",d,d,TRUE,
106. a 45yo lady has 10m hx of sob. she is found to have irregularly irregular pulse and loud p2 with fixed splitting and ejection systolic murmur in left 2nd ics. what is the probable dx?,a. tof,b. asd,c. vsd,d. pda,e. coa,,,,,,"key: 1. the key is b. atrial septal defect. key: 2. diagnosis is asd with atrial fibrillation. [i) atrial fibrillation = irregularly irregular pulse. ii) asd = sob, fixed splitting with loud p2, esm in pulmonary area]. this picture is typical. one should not misdiagnose sob, esm in pulmonary area and loud p2 as pulmonary hypertension (though in elderly this can develop with asd).","The probable diagnosis for the 45-year-old lady with a 10-month history of sob and other symptoms is atrial septal defect (ASD) with atrial fibrillation. The irregularly irregular pulse, along with the fixed splitting and loud p2, is typical for ASD. The ejection systolic murmur in the left 2nd intercostal space (ICS) confirms the diagnosis. It is important not to misdiagnose the sob and ejection systolic murmur in the pulmonary area as pulmonary hypertension, which can develop with ASD in elderly patients. The other choices for the probable diagnosis, including tof, vsd, pda, and coa, do not have the specific combination of symptoms described in this case and are incorrect.",b,b,TRUE,
107. a 5m baby present with recurrent vomiting. mother noticed some of the vomitus is blood stained. choose the single most likely inv?,a. upper gi endoscopy,b. barium meal,c. us,d. colonoscopy,e. ct abdomen,,,,,,key: the key is a. upper gi endoscopy.,"The correct answer for the most likely investigation for a 5-month-old baby presenting with recurrent vomiting and blood-stained vomitus is a. upper GI endoscopy. This is because upper GI endoscopy allows direct visualization of the upper GI tract, including the esophagus, stomach, and duodenum, to identify any possible causes of the vomiting. Other options such as barium meal, US, colonoscopy, or CT abdomen are not the most appropriate choices in this case as they do not provide direct visualization of the upper GI tract. Barium meal is contraindicated in cases of suspected GI perforation or obstruction, which can be a possible complication in infants due to their small size. Ultrasound and CT abdomen are more useful in evaluating organs such as liver, spleen, and kidneys and are not well-suited for evaluating the upper GI tract. Additionally, colonoscopy should not be chosen as the first investigation for vomiting and blood-stained vomitus in infants. Therefore, upper GI endoscopy is the most appropriate choice for this case, allowing for accurate diagnosis and management of the underlying cause.",a,a,TRUE,
108. a 76yo is treated with htn. he suffers from pain and redness at the mtp joint of his right big toe. which of the following anti-htn cause this symptoms?,a. losartan,b. bendroflumethiazide,c. ramipril,d. bisoprolol,e. verapamil,,,,,,key: 1. the key is b. bendroflumethiazide key: 2. diagnosis is acute gout. key: 3. thiazide diuretics may cause hyperuricemia and thus cause or precipitate gout.,"The correct answer is B, bendroflumethiazide. This is because thiazide diuretics like bendroflumethiazide can cause hyperuricemia, which in turn can cause or worsen gout, a condition characterized by painful inflammation in the joints, including the big toe joint. The other choices, losartan, ramipril, bisoprolol, and verapamil, are not known to cause or worsen gout. Therefore, they are not likely to be the cause of the patient's symptoms.",b,b,TRUE,
109. a 33yo male involved in a street fight presents with bruises and deformity in the upper part of his leg. xr shows fx of the neck of fibula. what is the single most associated nerve injury?,a. sciatic nerve,b. gluteal nerve,c. musculocutaneous nerve,d. lateral peroneal nerve,e. tibial nerve,f. femoral nerve,,,,,key: the key is d. lateral peroneal nerve.  [lateral peroneal nerve is other name of superficial peroneal nerve].,"The correct answer is D, lateral peroneal nerve. The lateral peroneal nerve travels around the neck of the fibula and is frequently injured in cases of fibular neck fractures. This results in foot drop, which is a characteristic weakness in dorsiflexion of the foot. The other nerves listed are not commonly associated with this type of injury and therefore are not the correct answer. Sciatic nerve injury is usually associated with low back pain or lower extremity weakness, while gluteal nerve injury may affect hip extension or abduction. Musculocutaneous nerve supplies the anterior compartment of the arm and is not related to the injury described. Tibial nerve injury typically results in plantar flexion weakness and loss of sensation in the sole of the foot. Femoral nerve injury results in quadriceps weakness and anterior thigh numbness.",d,d,TRUE,
110. a 35yo man presents with hx of dyspepsia. h.pylori antibodies are negative. no improvement is seen after 1m of tx. what is the next step?,a. urea breath test,b. gastroscopy,c. ct,d. mri,,,,,,,"key: 1. gastroscopy. key: 2. not responding to treatment d/d is: i) jollinger elison syndrome ii) ca stomach key: 3. indications of gastroscopy in a 35 yo man (for man of age <50): i) acute symptoms with h/o previous episode (pud) ii) alarm features [weight loss, anaemia, vomiting, hematemesis and melaena, dysphagia, palpable abdominal mass], fear of cancer, evidence of organic disease.","In this scenario, the next step would be to perform a gastroscopy. This is because despite negative H. pylori antibodies and one month of treatment, the patient is not responding, which indicates the possibility of an underlying condition. The indications for gastroscopy in a 35-year-old man include acute symptoms with previous episodes (such as PUD), alarm features (such as weight loss, anemia, vomiting, hematemesis, and melaena, dysphagia, and palpable abdominal mass), fear of cancer, and evidence of organic disease. The other options, such as urea breath test, CT, or MRI, are not appropriate in this case since they do not provide a direct visualization of the digestive system, which is necessary to identify any potential underlying condition. Therefore, gastroscopy is the best option to identify any possible cause of the patient's dyspepsia, and appropriate treatment can be initiated accordingly.",b,b,TRUE,
111.  a 15yo male has bilateral ankle edema. his bp=110/70mmhg and urinalysis shows protein++++. what is the most likely dx?,a. hus,b. iga nephropathy,c. membranous gn,d. minimal change gn,e. nephrotic syndrome,,,,,,key: 1. the key is d. minimal change disease. key: 2. points in favour: i) age 15 ii) ankle oedema iii) normotension iv) heavy proteinuria. key: 3. treatment of choice is steroid (prednisolon). failure of steroid or frequent relapse (>3) cyclophosphamide.,"The most likely diagnosis for a 15-year-old male with bilateral ankle edema, normal blood pressure, and heavy proteinuria is minimal change disease (MCD), which is represented by option d. MCD is a type of nephrotic syndrome that primarily affects children and is characterized by the sudden onset of peripheral edema, hypoalbuminemia, and proteinuria. In MCD, kidney biopsy often shows normal glomeruli under light microscopy, but effacement of podocyte foot processes is commonly observed under electron microscopy. Other choices such as hemolytic uremic syndrome (HUS), IgA nephropathy, and membranous glomerulonephritis are less likely due to the age of the patient and the absence of their characteristic features. The treatment of choice for MCD is steroids (prednisolone), with cyclophosphamide reserved for patients with frequent relapses or steroid resistance.",d,d,TRUE,
"112. a 28yo man has developed a red, raised rash on trunk after playing football. his pmh shows he had childhood asthma. the rash is becoming increasingly itchy. what is the most appropriate tx?",a. oral chlorpheneraime,b. oral amoxicillin,c. im adrenaline,d. nebulized salbutamol,e. histamine,,,,,,key: 1. the key is a. oral chlorpheneramine. key: 2. diagnosis is atopy (allergy).,"The correct answer to this question would be a. oral chlorpheneramine. Based on the patient's history of childhood asthma and the development of a rash that is becoming progressively itchy, it is likely that the individual is experiencing an allergic reaction. Chlorpheneramine is an antihistamine that can help alleviate allergy symptoms such as itching and hives. Oral amoxicillin would not be appropriate in this scenario since there is no indication of a bacterial infection. IM adrenaline is typically reserved for severe allergic reactions such as anaphylaxis, and nebulized salbutamol is used to treat asthma symptoms such as wheezing and shortness of breath, which are not present in this patient. Histamine nan nan nan nan nan does not make sense as a potential treatment option. Therefore, oral chlorpheneramine is the most appropriate choice for this individual's symptoms.",a,a,TRUE,
"113. a 72yo man has been advised to have antibiotic prophylaxis for some years now before dental tx. he has never experienced chest pain. three weeks ago, he noticed breathlessness on exertion and for one week he had orthopnea. his pulse is normal. what is the most probable dx?",a. aortic regurgitation,b. ischemic mitral regurgitation,c. mitral valve prolapse,d. pulmonary stenosis,e. mitral valve stenosis,,,,,,key: the kay is e. mitral valve stenosis. [mitral stenosis is the most common valvular complication of rheumatic fever].,"The most probable diagnosis for the 72-year-old man is mitral valve stenosis (choice E). Mitral stenosis is more prevalent in patients with a history of rheumatic fever, and breathlessness on exertion and orthopnea are common symptoms of mitral valve stenosis. Additionally, the patient's pulse is normal, which is another indication of mitral valve stenosis since this condition may not cause changes in the pulse. The other choices (aortic regurgitation, ischemic mitral regurgitation, mitral valve prolapse, and pulmonary stenosis) are unlikely since they do not present with the same symptoms as mitral valve stenosis, and the patient's age may not be relevant to these conditions. It is essential to determine the correct diagnosis since mitral valve stenosis requires prompt treatment to prevent further complications.",e,e,TRUE,
"114. a 37yo woman presents with fatigue. exam: angular stomatitis, no koilonychea. choose the single cell type you will find on the blood film.",a. macrocytes,b. microcytes,c. granulocytes wthout blast cells,d. blast cells,,,,,,,key: 1. the given key is a. macrocytes. key: 2. the cause here is vit. b12 or folate deficiency. key: 3. points in favour of vit. b12 or folate deficiency: i) fatigue (anaemia) ii) angular stomatitis (can be seen in vit. b12 or folate deficiency) iii) absence of koilonychea is against ida (iron deficiency anaemia).,"In this case, the correct answer would be A, macrocytes. The given patient presents with fatigue and angular stomatitis, and we know that the absence of koilonychea is against iron deficiency anemia. This information supports the idea that the cause of the fatigue could be a vitamin B12 or folate deficiency, which can lead to macrocytic anemia. Thus, when we examine a blood film from this patient, we would expect to see larger-than-normal red blood cells, or macrocytes. The other answer choices are unlikely because granulocytes without blast cells would not provide meaningful information about the type of anemia, and blast cells would be indicative of a more severe condition such as leukemia. Microcytes are associated with iron deficiency anemia, which is not supported by the absence of koilonychea. Therefore, the most likely cell type to be found on the blood film for this patient is macrocytes.",a,a,TRUE,
115. a 4yo boy with a febrile convulsion lasting eight minutes has been given iv lorazepam to control them. what is the single most likely serious side effect?,a. amnesia,b. anaphylactic shock,c. apnea,d. bronchospasm,e. cardiac arrhythmia,,,,,,key: the key is c. apnoea. [respiratory depression may occur following lorazepam administration].,"The correct answer is c, apnoea. Lorazepam is a benzodiazepine medication that can cause respiratory depression, particularly when given intravenously. In a 4-year-old boy with febrile convulsions, the use of lorazepam is considered a first-line treatment to control the seizures. However, it is important to monitor the child closely for any signs of respiratory depression following administration of the medication. The other choices are not the most likely serious side effect in this case. Amnesia is a common side effect of lorazepam but not considered serious. Anaphylactic shock is a severe allergic reaction that can occur with any medication, but it is a rare side effect of lorazepam. Bronchospasm and cardiac arrhythmia are not common side effects of lorazepam and are not likely to occur in this case.",c,c,TRUE,
116. a 4wk girl has been dx of having breast milk jaundice. she is otherwise well. what is the single most appropriate management?,a. continue breastfeeding,b. exchange transfusion,c. increase fluid intake,d. phototherapy,e. stop breastfeeding,,,,,,"key: 1. the key is a. continue breast feeding. key: 2. if jaundice lasts past the first week of life in a breastfed baby who is otherwise healthy, the condition may be called ""breast milk jaundice."" key: 3. unconjugated hyperbilirubinaemia. key: 4. cause of breast milk jaundice: factors in a mother's milk that help a baby absorb bilirubin from the intestine.","The correct answer for managing a 4-week old girl with breast milk jaundice is to continue breastfeeding. Breast milk jaundice is a condition in which a breastfed baby may have high levels of bilirubin causing yellowing of the skin and eyes. This condition is benign and self-limited, resolving spontaneously in a few weeks, and does not require any intervention. Therefore, options b, c, d, and e are incorrect. Exchange transfusion is an invasive procedure that carries significant risks and should only be used in severe cases of jaundice. Increasing fluid intake or stopping breastfeeding is not necessary and may even worsen the condition. Phototherapy, although effective, should be reserved for cases of pathological jaundice. Thus, the primary management of breast milk jaundice is to continue breastfeeding, which will provide numerous benefits to the baby's growth and development.",a,a,TRUE,
117. a 12yo girl when playing in the garden accidentally stepped on a hive and was bitten several times. she has numerous wheals on her body and complains of severe itching. what is the single most appropriate management?,a. oral antihistamine,b. iv antihistamine,c. im adrenaline,d. oral ciprofloxacin,e. reassurance,,,,,,key: the given key is c. im adrenaline which is a wrong key. the correct answer is a. oral antihistamine. [intravenous antihistamines are used as an adjunct to epinephrine in the emergency treatment of anaphylaxis and angioedema. parenteral antihistamine is not recommended in less severe allergic reaction (other than anaphylaxis)]. followings are the indications of adrenaline in anaphylaxis: 1.	horseness of voice 2.	wheeze 3.	shortness of breath 4.	shock 5.	stridor 6.	swelling of the tongue and cheek 7.	facial swelling,"The correct answer for the management of a 12-year-old girl who has multiple wheals and itching due to bee stings is a. oral antihistamine. IM adrenaline is not recommended in mild allergic reactions, and IV antihistamine is only used in emergency situations like anaphylaxis. Oral ciprofloxacin is an antibiotic and does not provide any relief from bee stings. Reassurance is also not enough to manage the symptoms. Hence, the most appropriate management plan for the girl's condition is to give oral antihistamines to alleviate itching and reduce the number of wheals.",a,a,TRUE,
118. a term baby born to a 30yo woman of blood group a-ve develops severe jaundice within the first 24h of birth. what is the most likely dx?,a. hereditary spherocytosis,b. g6pd,c. abo incompatibility,d. rh incompatibility,e. physiological jaundice,,,,,,key: the key is d. rh incompatibility.,"The correct answer to this question is d. rh incompatibility. Rh incompatibility refers to a condition where the mother is Rh-negative and the baby is Rh-positive, leading to the production of antibodies by the mother that attack the baby's red blood cells. This can cause severe jaundice in the baby, as in this case where a term baby born to a 30-year-old woman of blood group A-negative develops severe jaundice within the first 24 hours of birth. Hereditary spherocytosis (a) and G6PD (b) are not typically associated with early onset jaundice. ABO incompatibility (c) can cause early onset jaundice, but this is more common in cases where the mother is O and the baby is A, B, or AB. Physiological jaundice (e) is mild and self-limiting and typically occurs later in the first week of life. Therefore, the most likely diagnosis for this baby's severe jaundice within the first 24 hours of birth is Rh incompatibility.",d,d,TRUE,
