,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
168,169. a 40yo man collapsed at home and died. the gps report says he suffered from t2dm and bmi=35. what is the most likely cause of death? ,a. mi,b. dm,c. hf,d. PE,e. renal failure,,,,,,"q. 1. what is the key? q. 2. why the patient’s death was unnoticed? ans. 1. the key is a. mi. ans. 2. in diabetics mi become painless when the patient develop autonomic neuropathy (till there is no autonomic neuropathy diabetic patients will feel mi pain). in this case the disease was unnoticed as it was a painless attack. 170. a 38yo pt presented with tingling, numbness, paraesthesia, resp stridor and involuntary spasm ",,,,
169,"170. a 38yo pt presented with tingling, numbness, paraesthesia, resp stridor and involuntary spasm of the upper extremities. she has undergone surgery for thyroid carcinoma a week ago. what is the most likely dx? ",a. thyroid storm,b. hyperparathyroidism,c. unilateral recurrent laryngeal nerve injury,d. External laryngeal nerve injury,e. hypocalcemia,,,,,,"q. 1. what is the key? q. 2. what is the cause of this condition? q. 3. why there is respiratory stridor? ans. 1. the key is e. hypocalcaemia. ans. 2. hypocalcaemia may be due to accidental parathyroid gland removal during thyroidectomy. ans. 3. laryngospasm is a feature in hypocalcaemia which may cause stridor. 171. a 50yo chronic smoker came to opd with complaint of chronic productive cough, sob and ",,,,
170,"171. a 50yo chronic smoker came to opd with complaint of chronic productive cough, sob and wheeze. labs: cbc=increase in pcv. cxr >6ribs seen above the diaphragm in midclavicular line. abg=po2 decreased. what is the most likely dx? ",a. interstitial lung disease,b. wegener’s granulomatosis,c. ca bronchi,d. COPD,e. amyloidosis,,,,,,"q. 1. what is the key? q. 2. what are the points in favour? ans. 1. the key is d. copd. ans. 2. points in favour: i) age 50 yrs ii) chronic smoker iii) chronic productive cough, sob and wheeze iv) raised pcv secondary to chronic hypoxaemia v) low set diaphragm and widened horizontal ribs vi) hypoxaemia on abg. 172. a 44yo pt has sudden onset of breathlessness and stridor few minutes after extubation for ",,,,
171,172. a 44yo pt has sudden onset of breathlessness and stridor few minutes after extubation for thyroidectomy. the pat had longstanding goiter for which he had the surgery. what is the most likely dx? ,a. thyroid storm,b. hematoma,c. unilateral recurrent laryngeal nerve injury,d. External laryngeal nerve injury,e. tracheomalacia,,,,,,"ans. the key is tracheomalacia. [prolonged pressure over trachea by goiter is a cause of tracheomalacia following thryroidectomy]. 173. a 15yo boy presents with generalized edema. his urinalysis reveals protein +++, egfr =110. ",,,,
172,"173. a 15yo boy presents with generalized edema. his urinalysis reveals protein +++, egfr =110. what is the most likely dx? ",a. iga nephropathy,b. membranous nephropathy,c. minimal change disease,d. PSGN,e. lupus nephritis,,,,,,ans. the key is c. minimal change disease. [points in favour: i) age 15 yrs ii) generalized oedema iii) protein in urine +++ vi) normal egfr of 110 (normal range- 90 to 120 ml/min)]. 174. a 72yo man is receiving chemotherapy for sclc. he has his 4th tx 8 days ago. he has a cough ,,,,
173,"174. a 72yo man is receiving chemotherapy for sclc. he has his 4th tx 8 days ago. he has a cough with some green sputum but feels well. temp=37.6c. chest exam = few coarse crepitations in the right base. hr=92bpm. cbc: hgb=12.5g/dl, wbc=1.1, neutrophils=0.6, plt=89. sputum, urine and blood culture sent to microbiology. what is the most appropriate management? ",a. broad spectrum antibiotics iv,b. broad spectrum antibiotics po,c. gcsf,d. Postpone tx until bacteriology results available,e. reassure and send home,,,,,,q. 1. what is the key? q. 2. what is the diagnosis? q. 3. what is the treatment of low wbc count? ans. 1. the key is a. broad spectrum antibiotics iv ans. 2. the diagnosis is lower respiratory tract infection. ans. 3. gcsf subcutaneously. [it is the treatment of chemotherapy induced leucopenia]. 175. a 25yo woman with t1dm has delivered a baby weighing 4.5kg. her uterus is well contracted. ,,,,
174,175. a 25yo woman with t1dm has delivered a baby weighing 4.5kg. her uterus is well contracted. choose the single most likely predisposing factor for pph from the options. ,a. atonic uterus,b. cervical/vaginal trauma,c. retained poc,d. Large placental site,e. rupture uterus,,,,,,q. 1. what is the key? q. 2. reason for your answer. ans. 1. the key is b. cervical/vaginal trauma ans. 2. the baby is a big baby. if patient’s uterus was not well contracted we would fear of atonic uterus! but as uterus is well contracted it is not atonic uterus. rather most likely cause is trauma dring delivery of this big baby. 176. a 23yo lady presents with headache. exam: photophobia and generalized rash that doesn’t ,,,,
175,176. a 23yo lady presents with headache. exam: photophobia and generalized rash that doesn’t blanch on pressure. what must be done immediately? ,a. iv benzylpenicillin,b. isolate pt,c. gown and mask,d. Blood culture,,,,,,,ans. the key is a. iv benzylpenicillin. 177. a 4yo baby has generalized tonic-clonic seizure and fever of 39c. his mother informs you that ,,,,
176,177. a 4yo baby has generalized tonic-clonic seizure and fever of 39c. his mother informs you that this has happened 3-4x before. what is the most likely dx? ,a. febrile convulsion,b. absence seizures,c. epilepsy,d. Partial complex seizure,,,,,,,ans: the key is c. epilepsy. it is wrong key. correct key should be a. febrile convulsion. [points in favour: seizers in presence of high fever. same previous illness indicate seizers during fever which goes against epilepsy. though usually febrile convulsion dosen’t tend to recur but it can recur as well. epilepsy has no relation to fever but is due to pathology in brain]. 178. a middle aged asian presents with episodes of fever with rigors and chills for last 1y. blood film: ,,,,
177,178. a middle aged asian presents with episodes of fever with rigors and chills for last 1y. blood film: ring form plasmodium with schuffner’s dots in rbcs. what is the drug to eradicate this infection? ,a. doxycycline,b. mefloquine,c. proguanil,d. Quinine,e. artesonate,,,,,,"q. 1. what is the key? q. 2. what does shuffner’s dot in rbc indicate? ans. 1. the key is b. mefloquine. probably wrong key as mefloquine can not eradicate hepatic cycle! primaquine is the drug that can eradicate hepatic cycle. none of the given option can iradicate liver cycle!! ans. 2. shuffners dot indicates, it is plasmodium ovale or plasmodium vivex infestation. 179. a 35yo woman had an uneventful lap chole 18h ago. she has a pulse=108bpm, temp 37.8c. ",,,,
178,"179. a 35yo woman had an uneventful lap chole 18h ago. she has a pulse=108bpm, temp 37.8c. there are signs of reduced air entry at the right base but the cxr doesn’t show an obvious abnormality. what is the most appropriate management strategy? ",a. cefuroxime po,b. ceftriaxone iv,c. chlorpheniramine po,d. Chest physiotherapy,e. reassure,,,,,,q. 1. what is the key? q. 2. what is the diagnosis? ans. 1. the key is d. chest physiotherapy. ans. 2. atelactasis. [atelectasis can be seen in chest x-ray but sometimes it becomes undetectable in chest x-ray as we are suspecting in this case]. 180. a 20yo pop star singer complains of inability to raise the pitch of her voice. she attributes this to ,,,,
179,180. a 20yo pop star singer complains of inability to raise the pitch of her voice. she attributes this to the thyroid surgery she underwent a few months back. what is the most likely dx? ,a. thyroid storm,b. bilateral recurrent laryngeal nerve injury,c. unilateral recurrent laryngeal nerve injury,d. External laryngeal nerve injury,e. thyroid cyst,,,,,,"ans. the key is d. external laryngeal nerve injury. [external laryngeal nerve functions to tense the vocal cords by activating the cricothyroid muscle, increasing pitch]. 181. a 28yo woman at 39wk gestation is in labor. she develops abdominal pain and hr=125bpm, ",,,,
180,"181. a 28yo woman at 39wk gestation is in labor. she develops abdominal pain and hr=125bpm, bp=100/42mmhg, temp=37.2c and saturation=99%. exam: lower abdomen is exquisitely tender. ctg=prv normal, now showing reduced variability and late deceleration develops with slow recovery. she has had 1 prv lscs for a breech baby. choose the most appropriate cs complication for this lady? ",a. endometritis,b. uti,c. urinary tract injury,d. Pleurisy,e. uterine rupture,,,,,,"ans. the key is e. uterine rupture. [features of shock, exquisitely tender lower abdomen with abdominal pain, previously normal ctg now becoming non-reassuring and previous history of lscs makes the diagnosis of uterine rupture]. 182. an 8m infant presented with ftt and constipation. exam: large tongue and fam hx of prolonged ",,,,
181,182. an 8m infant presented with ftt and constipation. exam: large tongue and fam hx of prolonged neonatal jaundice. what is the most likely dx? ,a. downs syndrome,b. fragile x syndrome,c. praderwilli syndrome,d. DiGeorge syndrome,e. congenital hypothyroidism,,,,,,q. 1. what is the key? q. 2. what are the points in favour? ans.1. the key is e. congenital hypothyroidism. ans. 2. points in fevour:i) ftt (failure to thrive) ii) constipation iii) macroglossia iv) prolonged neonatal jaundice. 183. a 3m infant has presented with recurrent infections. he has abnormal facies and cxr shows ,,,,
182,183. a 3m infant has presented with recurrent infections. he has abnormal facies and cxr shows absent thymic shadow. what is the most likely dx? ,a. downs syndrome,b. fragile x syndrome,c. digeorge syndrome,d. Marfans syndrome,,,,,,,q. 1. what is the key? q. 2. what are the points in favour? ans. 1. the key is c. digeorge syndrome. ans. 2. points in favour: i) early age of onset ii) abnormal facies iii) absent thymic shadow on chest x-ray iii) history of recurrent infection [infections are common in children due to problems with the immune system's t-cell-mediated response that in some patients is due to an absent or hypoplastic thymus]. [in newborn can be recognized by convulsions from hypocalcaemia due to malfunctioning parathyroid glands and low level of parathyroid hormones]. 184. a 30yo man presents with deep penetrating knife wound. he said he had tt when he left school. ,,,,
183,184. a 30yo man presents with deep penetrating knife wound. he said he had tt when he left school. what will you do for him now? ,a. human ig only,b. human ig and tt,c. full course of tetanus vaccine only,d. Human Ig and full course of tetanus vaccine,e. antibiotic,,,,,,ans. the key is b. human ig and tt. it is a wrong key!! according to uk greenbook correct key is a. human ig only. [for tetanus vaccine and management uk protocol is a bit different from other countries]. 185. a 32yo previously healthy woman has developed pain and swelling of both knees and ankles ,,,,
184,185. a 32yo previously healthy woman has developed pain and swelling of both knees and ankles with nodular rash over her shins. as part of the inv a cxr has been performed. what is the single most likely cxr appearance? ,a. apical granuloma,b. bilateral hilar lymphadenopathy,c. lobar consolidation,d. Pleural effusion,e. reticular shadowing in the bases,,,,,,"q. 1. what is the key? q. 2. what is the name of this condition? what are the points in favour? ans. 1. the key is b. bilateral hilar lymphadenopathy. ans. 2. the name is lofgren’s syndrome. it is the triad of i) erythema nodosum ii) bilateral hilar lymphadenopathy and iii) arthralgia. 186. a neonate’s cxr shows double bubble sign. exam: low set ears, flat occiput. what is the most ",,,,
185,"186. a neonate’s cxr shows double bubble sign. exam: low set ears, flat occiput. what is the most likely dx? ",a. downs syndrome,b. fragile x syndrome,c. turner’s syndrome,d. DiGeorge syndrome,,,,,,,q. 1. what is the key? q. 2. what double bubble sign indicate? ans. 1. the key is a. down’s syndrome. ans. 2. double bubble sign indicate duodenal atresia. 187. a 19yo boy complains of itching on the site of insect bite. what is the single most appropriate ,,,,
186,187. a 19yo boy complains of itching on the site of insect bite. what is the single most appropriate management? ,a. penicillin oral,b. doxycycline oral,c. oral antihistamine,d. Oral ciprofloxacin,e. reassurance,,,,,,"ans. the key is c. oral antihistamine. 188. a man presents with scrotal swelling, the swelling is cystic and is non-tender. it is located in the ",,,,
187,"188. a man presents with scrotal swelling, the swelling is cystic and is non-tender. it is located in the upper pole of the posterior part of the testis. what is the most likely dx? ",a. epididymal cyst,b. testicular ca,c. hydrocele,d. Teratoma,e. testicular torsion,,,,,,"ans. the key is a. epididymal cyst. [the location of upper pole of the posterior part of testis is the common site for epididymal pathology]. 189. a young footballer has collapsed during a game. during initial evaluation: rr=14/min, ",,,,
188,"189. a young footballer has collapsed during a game. during initial evaluation: rr=14/min, pulse=88bpm, bp=110/70mmhg. he seems to be sweating and muttering some incomprehensible words. what is the most imp next step? ",a. ct,b. mri,c. blood sugar,d. Body temp,e. iv fluids,,,,,,"ans. the key is c. blood sugar. [normal vital signs, sweating and collapse during exercise gives suspicion of hypoglycemia which is very easy to treat but fatal if left unrecognized. so most important next step is to check the blood sugar]. 190. a 45yo waitress complains of pelvic pain which worsens pre-menstrually and on standing and ",,,,
189,190. a 45yo waitress complains of pelvic pain which worsens pre-menstrually and on standing and walking. she also complains of post-coital ache. select the most likely cause leading to her symptoms? ,a. pid,b. endometritiosis,c. pelvic congestion syndrome,d. Adenomyosis,e. premature ovarian failure,,,,,,"ans. the key is c. pelvic congestion syndrome. [women with pelvic congestion syndrome experience a constant pain that may be dull and aching, but is occasionally more acute. the pain is worse at the end of the day and after long periods of standing, and sufferers get relief when they lie down. the pain is worse during or after sexual intercourse, and can be worse just before the onset of the menstrual period. cause is attributed to female hormone estrogen induced vascular (venous) changes. so it is usually seen in females]. 191. a 37yo female had a fall with outstretched hand, presented with dinner fork deformity and ",,,,
190,"191. a 37yo female had a fall with outstretched hand, presented with dinner fork deformity and tenderness over the right arm. what is the single most associated nerve injury? ",a. axillary nerve,b. radial nerve,c. musculocutaneous nerve,d. Median nerve,e. ulnar nerve,,,,,,ans. the key is d. median nerve. [median nerve is the nerve injured in colle’s fracture]. 192. a mother comes with her 15m child. which of the following will bother you? ,,,,
191,192. a mother comes with her 15m child. which of the following will bother you? ,a. shies away from strangers,b. can walk but not run,c. vocabulary consists of only 2 meaningless words,d. She can’t make a sentence,e. none,,,,,,q. 1. what is the key? q. 2. how many words is told clearly by a 15 month old child? ans. 1. the key is c. vocabulary consists of only 2 meaningless words. ans. 2. at 15 months the child can clearly say 5 words and his first meaningful clear word he says at 12 months. 193. a 35yo lady who has been using iucd for one year now complains of pelvic pain and heavy ,,,,
192,193. a 35yo lady who has been using iucd for one year now complains of pelvic pain and heavy painful periods. select the most likely cause leading to her symptoms? ,a. pid,b. endometriosis,c. adenomyosis,d. Fibroids,e. asherman syndrome,,,,,,"q. 1. what is the key? q. 2. what points favour your diagnosis? ans. 1. the key is a. pid. ans. 2. the given picture may have d/d of pid or fibroid. as iucd is a risk factor for pid, it is the most likely diagnosis of given picture. menorrhagia for fibroids are usually painless]. 194. the dx cells of hodgkin disease are: ",,,,
193,194. the dx cells of hodgkin disease are: ,a. t-cells,b. r-s cells,c. b-cells,d. Macrophages,e. auer rods,,,,,,ans. the key is b. r-s cells. [diagnostic cell in hodgkins disease is reed-sternberg cells]. 195. a 16yo girl is admitted after taking a paracetamol od 4 h ago. she has consumed large amounts ,,,,
194,195. a 16yo girl is admitted after taking a paracetamol od 4 h ago. she has consumed large amounts of alcohol. her plasma paracetamol conc is just below the conc that would suggest tx. what should be the tx option for her? ,a. refer to psychiatry ward,b. refer to medical ward,c. n-acetylcystine,d. Serum plasma paracetamol,e. no further investigation,,,,,,ans. the key is a. refer to psychiatry ward. [short term acute alcohol consumption causes enzyme inhibition as in present case and even then paracetamol level is under tx level. so the patients drug level is in safe side but simultaneous drug overdose and alcohol consumption needs psychiatric evaluation and hence the option here is a]. 196. a 64yo woman has been on hrt for 9yrs. she had regular withdrawal bleeds until 3 yrs ago and ,,,,
195,196. a 64yo woman has been on hrt for 9yrs. she had regular withdrawal bleeds until 3 yrs ago and since then has been taking a no bleed prep. recently she noticed a brown vaginal discharge. choose the single most appropriate initial inv? ,a. cervical smear,b. high vaginal swab,c. tft,d. Transvaginal US,,,,,,,"q. 1. what is the key? q. 2. why this test will be done? ans. 1. the key is d. transvaginal us. ans. 2. to determine the endometrial thickness! in a postmenopausal woman with vaginal bleeding, the risk of cancer is approximately 7.3% if her endometrium is thick (> 5 mm) and < 0.07% if her endometrium is thin (≤ 5 mm). in postmenopausal women without vaginal bleeding, the risk of cancer is approximately 6.7% if the endometrium is thick (> 11 mm) and 0.002% if the endometrium is thin (≤ 11 mm). 197. a young girl complains of episodic headaches preceded by fortification spectra. each episode ",,,,
196,"197. a young girl complains of episodic headaches preceded by fortification spectra. each episode last for 2-3 days. during headache pt prefers quiet, dark room. what is the tx of choice for acute stage? ",a. paracetamol,b. aspirin,c. sumatriptan,d. Gabapentin,e. cafergot,,,,,,"ans. the key is b. aspirin. this is a wrong key! correct key is a. paracetamol. [aspirin can cause reye's syndrome in children, so should not be given. if paracetamol or ibuprofen fail only then triptan should be given]. 198. a 60yo pt recovering from a surgery for toxic goiter is found to be hypotensive, cyanosed in the ",,,,
197,"198. a 60yo pt recovering from a surgery for toxic goiter is found to be hypotensive, cyanosed in the the rr. exam: tense neck. there is blood oozing from the drain. what is the most likely dx? ",a. thyroid storm,b. reactionary hemorrhage,c. secondary hemorrhage,d. Primary hemorrhage,e. tracheomalacia,,,,,,"ans. the key is b. reactionary haemorrhage. [in the recovery room, cyanosis, hypotension, tense neck, woozing of blood from drain; all these goes in favour of reactionary haemorrhage. ""reactionary,"" hemorrhage that occurs within the first 24 hours after surgery]. 199. a 33yo man is hit by a car. he loses consciousness but is found to be fine by the paramedics. ",,,,
198,199. a 33yo man is hit by a car. he loses consciousness but is found to be fine by the paramedics. when awaiting doctors review in the ed he suddenly becomes comatose. what is the most likely dx? ,a. sah,b. subdural hemorrhage,c. intracerebral hemorrhage,d. Extradural hemorrhage,,,,,,,"ans. the key is d. extradural haemorrhage. [age 33 (younger age), considerable head trauma, and lucid interval (present in both extradural and subdural) are the points in favour]. 200. a 77yo male presents with hx of enuresis and change in behavior. exam: waddling gait. what is ",,,,
199,200. a 77yo male presents with hx of enuresis and change in behavior. exam: waddling gait. what is the most likely dx? ,a. subdural hemorrhage,b. brain tumor,c. normal pressure hydrocephalus,d. Psychotic depression,,,,,,,"ans. the key is c. normal pressure hydrocephalus. [age (usually occurs in 60s or 70s), loss of bladder control (enuresis), waddling gait and behavior change are all features of normal pressure hydrocephalus]. 201. a 29yo teacher is involved in a tragic rta. after that incident, he has been suffering from ",,,,
200,"201. a 29yo teacher is involved in a tragic rta. after that incident, he has been suffering from nightmares and avoided driving on the motorway. he has been dx with ptsd. what is the most appropriate management? ",a. cbt,b. diazepam,c. citalopram,d. Dosalepin,e. olanzepin,,,,,,ans. the key is a. cbt. [cbt is the treatment of choice in ptsd]. 202. a 5yo child presents with fever. he looks pale. his parents say he always feels tired. on exam: ,,,,
201,"202. a 5yo child presents with fever. he looks pale. his parents say he always feels tired. on exam: orchidomegaly & splenomegaly. labs: wbc=1.7, hgb=7.1, plt=44. what is the dx? ",a. all,b. cll,c. aml,d. CML,e. hodgkins,,,,,,"ans. the key is a. all. [normally in all cbc shows raised wbc, low rbc and low platelet; but it is also possible to all cell lines to be depressed, as is the presented case]. 203. a 6wk child is brought in with vomiting, constipation and decreased serum k+. what is the dx? ",,,,
202,"203. a 6wk child is brought in with vomiting, constipation and decreased serum k+. what is the dx? ",a. pyloric stenosis,b. duodenal atresia,c. hirschsprung disease,d. Achalasia cardia,e. tracheo-esophageal fistula,,,,,,"ans. the key is a. pyloric stenosis. [why not duodenal atresia? pyloric stenosis is much more commoner than duodenal atresia; in duodenal atresia the vomitus should contain bile, which is not the case in pyloric stenosis]. 204. a 17 yo girl had an episode of seizure. contraction of muscles started from around the ",,,,
203,"204. a 17 yo girl had an episode of seizure. contraction of muscles started from around the interphalangeal joints, which spread to the muscles of wrist and elbow. choose possible type of seizure? ",a. grand mal,b. tonic clonic,c. myoclonic,d. Absent,,,,,,,"ans. the key is c. myoclonic. [seizers associated with contraction of specific muscle group is seen in myoclonic seizers]. 205. 46yo man, known case of chronic gn presents to opd. he feels well. bp = 140/90mmhg. urine ",,,,
204,"205. 46yo man, known case of chronic gn presents to opd. he feels well. bp = 140/90mmhg. urine dipstick: protein ++, blood ++ and serum creatinine=106mmol/l. which medication can prevent the progression of this dx? ",a. acei,b. diuretics,c. cytotoxic meds,d. Longterm antibiotics,e. steroids,,,,,,ans. the key is a. acei. [renal impairment is delayed by acei]. 206. a 23 yo girl presented with perioral paresthesia and carpopedal spasm 20 mins after a huge ,,,,
205,206. a 23 yo girl presented with perioral paresthesia and carpopedal spasm 20 mins after a huge argument with her boyfriend. what is the next step for this pt? ,a. ssri,b. diazepam,c. rebreath into a paper bag,d. Propranolol,e. alprazolam,,,,,,"q. 1. what is the key? q. 2. what is the likely diagnosis? ans. 1. the key is c. rebreathing in paper bag. [hyperventilation causes co2 washout and respiratory alkalosis. an increase in ph, alkalosis, promotes increased protein binding, which decreases free calcium levels and this low calcium causes perioral persthesia and carpopedal spasm. if you continue breathing and rebreathing in paper bag it will allow co2 concentration to rise in paper bag and as you rebreath this again and again you will regain some washed out co2 and thus relief to this alkalosis]. ans. 2. the girl may have anxiety disorder when it precipitates leads to hyperventilation syndrome. x 207. a 25 yo woman has been feeling anxious and nervous for the last few months. she also ",,,,
206,207. a 25 yo woman has been feeling anxious and nervous for the last few months. she also complains of palpitations and tremors. her symptoms last for a few minutes and are very hard to control. she tells you that taking alcohol initially helped her relieve her symptoms but now this effect is wearing off and she has her symptoms even after drinking alcohol. what is the dx? ,a. panic disorder,b. depression,c. ocd,d. Alcohol addiction,e. gad,,,,,,ans. the key is a. panic disorder. 208. a 2yo child is very naughty. his teacher complains that he is easily distracted. his parents say ,,,,
207,208. a 2yo child is very naughty. his teacher complains that he is easily distracted. his parents say that he can’t do a particular task for a long time. he sometimes hurts himself and breaks many things. this causes many troubles at home. what is the dx? ,a. asd,b. dyslexia,c. adhd,d. Antisocial personality disorder,e. oppositional defiant,,,,,,ans. the key is c. adhd (attention deficit hyperreactive disorder). 209. a 79 yo lady who is otherwise well recently started abdominal pain. she is afebrile and ,,,,
208,209. a 79 yo lady who is otherwise well recently started abdominal pain. she is afebrile and complains that she passed air bubbles during urination. a urethral catheter showed fecal leakage in the urinary bag. what is the likely pathology? ,a. diuretics,b. cd,c. rectosigmoid tumor,d. Large bowel perforation,e. uc,,,,,,"ans. the key is b. cd. [debate came that crohn’s disease cannot occur in 79 yrs but this is not the case! “crohn’s disease can occur at any age, but is most frequently diagnosed in people ages 15 - 35. about 10% of patients are children under age 18”. [http://www.nytimes.com/health/guides/disease/crohns-disease/risk-factors.html]. so i think it can occur in this age also and the feature like fistula is a common association of cd]. 210. a 2 month child with diarrhea and vomiting for 6 days is brought in looking lethargic. what is the ",,,,
209,210. a 2 month child with diarrhea and vomiting for 6 days is brought in looking lethargic. what is the appropriate initial inv? ,a. bue,b. random blood sugar,c. cbc,d. CXR,e. axr,,,,,,ans. the key is a. bue. [electrolyte imbalance should be checked in this baby presenting with diarrhea and vomiting for considerable time]. 211. a 72 yo man fell while shopping and hurt his knee. his vitals are fine. he speaks in a low voice ,,,,
210,211. a 72 yo man fell while shopping and hurt his knee. his vitals are fine. he speaks in a low voice and is very slow to give answers. what is the most probable dx? ,a. alzheimers,b. vascular demetia,c. tia,d. Pseudo-dementia,e. picks dementia,,,,,,ans. the key is a. alzheimers 212. a 47 yo man met with a rta. he has multiple injuries. pelvic fx is confirmed. he has not passed ,,,,
211,212. a 47 yo man met with a rta. he has multiple injuries. pelvic fx is confirmed. he has not passed urine in the last 4 hrs. what is the next appropriate management for this pt? ,a. urethral catheter,b. suprapubic catheter,c. iv fluids,d. IV furosemide,e. insulin,,,,,,q. 1. what is the key? q. 2. what is the reason of this management? ans. 1. the key is b. suprapubic catheter. ans. 2. in pelvic fracture there is chance of urethral rupture and hence displacement of urethral catheter while try to place it. 213. a 49 yo pt presents with right hypochondriac pain. inv show a big gallstone. what is the most ,,,,
212,213. a 49 yo pt presents with right hypochondriac pain. inv show a big gallstone. what is the most appropriate management? ,a. lap cholecystectomy,b. reassure,c. low fat diet,d. Ursodeoxycholic acid,e. emergency laparotomy,,,,,,"q. 1. what is the key? q. 2. points in favour? ans. 1. the key is a. lap cholecystectomy. ans. 2. i) as symptomatic only reassurence is not appropriate ii) as big stone ursodyoxycholic acid is less effective iii) less invasiv is preferred so laparoscopic rather than laparotomy. 214. in a man who is neglected and alcohol dependent, whith high suicidal risk, which factor can ",,,,
213,"214. in a man who is neglected and alcohol dependent, whith high suicidal risk, which factor can increase this risk further? ",a. alcohol dependence,b. ssri,c. s]moking,d. Agoraphobia,e. court involvement,,,,,,ans. the key is a. alcohol dependence. this is wrong key!! correct key should be b. ssri. [he is already alcohol dependent. so further (additional) risk factor is ssri (ssri has well known risk of developing suicidal ideation]. arrest and court involvement is also a risk factor and in a neglected person it is also a strong risk factor. 215. a 71 yo man presents with coarse tremor. he is on some meds. which one can be the reason for ,,,,
214,215. a 71 yo man presents with coarse tremor. he is on some meds. which one can be the reason for the tremor? ,a. lithium,b. diazepam,c. fluoxetine,d. Imipramine,e. haloperidol,,,,,,"ans. the key is a. lithium. actually in therapeutic dose lithium causes fine tremor but in toxic dose it causes coarse tremor. so the probable answer is lithium. 216. a young woman complains of diarrhea, abdominal cramps and mouth ulcers. axr shows ",,,,
215,"216. a young woman complains of diarrhea, abdominal cramps and mouth ulcers. axr shows distended transverse colon with globet cell depletion on rectal biopsy. what is the most probable dx? ",a. cd,b. uc,c. bowel ca,d. Bowel obstruction,e. ibs,,,,,,"q. 1. what is the key? q. 2. what are points in favour? ans. 1. the key is b. uc. ans. 2. in uc there is goblet cell depletion and less mucous production in contrast with cd where there may be goblet cell hyperplasia and mucous secretion is not reduced. please note aphthous ulcer can develop in both cd and uc. 217. after eating a cookie at a garden party, a child began to cough and went blue. the mother also ",,,,
216,"217. after eating a cookie at a garden party, a child began to cough and went blue. the mother also noticed that there were swollen patches on the skin. what is the dx? ",a. allergic reaction,b. aspiration of food,c. cyanotic heart disease,d. Trachea-esophageal fistula,e. achalasia cardia,,,,,,"ans. the key is a. allergic reaction. 218. a 70 yo man presents with balance difficulties, vomiting and nausea. which of the following is ",,,,
217,"218. a 70 yo man presents with balance difficulties, vomiting and nausea. which of the following is the best inv? ",a. mri cerebellum,b. ct cerebellum,c. skull xr,d. LP,e. blood culture,,,,,,"ans. the key is a. mri cerebellum. [balance difficulties, vomiting and nausea suggests cerebellar lesion. in posterior fossa lesion mri is preferred]. 219. a 2 yo pt presents with colicky pain which radiates from loin to groin. he complains of similar ",,,,
218,219. a 2 yo pt presents with colicky pain which radiates from loin to groin. he complains of similar episodes in the past. inv has been done and 7mm stone was found in the ureter. what is the most appropriate management? ,a. percutaneous nephrolithotomy,b. open surgery,c. ureteroscopy or laser,d. Conservative tx,e. eswl,,,,,,"q. 1. what is the key? q. 2. what treatments are recommended for different sized stones in adults? ans. 1. the key is e. eswl. [given its minimally invasive features, extracorporeal shock wave lithotripsy (eswl) has become a primary mode of treatment for the pediatric patients with reno-ureteral stones]. ans. 2. stones < 5mm: pass spontaneously, increase fluid intake. stones 5mm-10mm /pain not resolving: medical expulsive therapy---> nifedipine or tamsulosin(and/or prednisolone). stones 10mm-2cm: eswl or ureteroscopy using dormia basket. stones > 2cm/large/multiple/complex: percutaneous nephrolithotomy. 220. a footballer has been struck in the groin by a kick and a presents with severe pain and mild ",,,,
219,220. a footballer has been struck in the groin by a kick and a presents with severe pain and mild swelling in the scrotum. what is the most appropriate next step? ,a. usg,b. doppler,c. exploratory surgery,d. IV fluids,e. antibiotics,,,,,,ans. the key is c. exploratory surgery. [to exclude torsion]. 221. a 47 yo ex-soldier suffers from low mood and anxiety. he can’t forget the images he faces ,,,,
220,221. a 47 yo ex-soldier suffers from low mood and anxiety. he can’t forget the images he faces before and has always had flashbacks. he is not able to watch the news because there are usually some reports about war. what is he suffering from? ,a. depression,b. ptsd,c. panic attack,d. Agoraphobia,e. gad,,,,,,ans. the key is b. ptsd. [repeated flashbacks and tendency to avoid the thoughts of stressor is diagnostic of ptsd]. 222. a 36 yo woman has recently spent a lot of money on buying clothes. she goes out almost every ,,,,
221,"222. a 36 yo woman has recently spent a lot of money on buying clothes. she goes out almost every night with her friends. she believes that she knows better than her friends, so she should choose the restaurant for eating out. she gave hx of having low mood at 12 yo. what’s the dx? ",a. mania,b. depression,c. bipolar affective disorder,d. Borderline personality disorder,e. dysthymia,,,,,,ans. the key is c. bipolar affective disorder. [initial depressive episode (may be befor a long) followed by mania is bipolar affective disorder]. 223. a 28 yo female presents with a 3m hx of diarrhea. she complains of abdominal discomfort and ,,,,
222,223. a 28 yo female presents with a 3m hx of diarrhea. she complains of abdominal discomfort and passing stool 20x/day. exam=febrile. barium enema shows cobblestone mucosa. what is the most likely dx? ,a. ameoba,b. colon ca,c. ge,d. CD,e. uc,,,,,,"ans. the key is d. cd. [hx of diarrhea, abdominal discomfort, and patient being febrile indicate gut inflammation and cobblestone appearance on barium enema is suggestive of cd]. 224. a child is brought in with high grade fever, runny nose and bark-like cough. he is also drooling. ",,,,
